FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
46,53,07000000099998816008607,999988,16,86,7.0,70000000.0,0,256.918078308,3213.23399561,,0,B46999988070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,3207.49758434
47,54,07000000000000816008607,8,16,86,7.0,70000000.0,0,236.784608536,3229.20221066,,0,B478070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,331.095201319
48,55,07000000099998716008607,125,16,86,7.0,70000000.0,0,146.804171332,1301.10248975,,0,B48125070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,75.028262723
49,56,07000000099998616008607,126,16,86,7.0,70000000.0,0,120.00697742,729.627064282,,0,B49126070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,413.982708912
50,57,07000000000002516008607,25,16,86,7.0,70000000.0,0,218.673533046,2210.93789594,,0,B5025070000000,205,542.887807536,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,2.99160532142
5,8,07000000000000116008607,1,16,86,7.0,70000000.0,0,129.024782186,893.97143117,,0,B51070000000,557,37531.1377558,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,858.686622821
51,58,07000000000002816008607,28,16,86,7.0,70000000.0,0,190.38050238,2313.52515562,,0,B5128070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,263.350720501
52,59,07000000000003116008607,31,16,86,7.0,70000000.0,0,357.39190869,7731.52214638,,0,B5231070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,6729.65149842
53,60,07000000000003216008607,32,16,86,7.0,70000000.0,0,239.771460371,3300.97484311,,0,B5332070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,3295.09357547
54,61,07000000000009116008607,91,16,86,7.0,70000000.0,0,179.657425817,2065.09090754,,0,B5491070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,2061.41011694
55,64,07000000000009716008607,97,16,86,7.0,70000000.0,0,220.74342576,2510.2304903,,0,B5597070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1574.39267539
56,65,07000000000009816008607,98,16,86,7.0,70000000.0,0,316.013953476,6286.86628691,,0,B5698070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,5035.08364976
