FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2024,5349.06452378,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,5349.0645321
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2025,15916.2949425,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,15916.2949425
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2026,3505.82803345,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3505.82803341
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2027,1862.86541421,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1862.86541424
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2028,1896.39340659,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1896.39340658
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2029,3749.83423878,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3749.83423882
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2030,3208.13012104,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3208.13012103
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2031,1789.88136918,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1789.88136924
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2032,774139.23601,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,774139.236009
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2033,41.7351452113,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,41.7351452113
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2034,866.072135741,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,866.072135768
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2035,1383.58838448,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1383.5883845
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2036,5830.97184852,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,5830.97184854
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2037,5191.64544001,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,5191.64543998
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2038,57419.0209461,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,57419.020946
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2039,48703.6351874,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,48703.6351528
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2040,151553.74813,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,151553.748201
